id;name;hover;description;color;link;icon;weight;group_uuid;is_active;type
1;Cambridgeshire lime implement;Fantastic transmitting system;../fake-data/blob/hipster.txt;lavender;FTP Republic monetize;Unit Cotton;18092;89e74b6d-713e-4ca0-bdc6-00e62b73982c;true;(Bouvetoya) compress
2;Metal;plug-and-play Planner;../fake-data/blob/hipster.txt;mint green;Account dynamic improvement;bypass e-tailers;34432;4198f388-c7c2-4ae7-b656-c1cf48c9970e;false;Locks Berkshire Plain
3;Producer Music monitoring;Intelligent program;../fake-data/blob/hipster.txt;salmon;orchid Chilean Rubber;Trafficway robust;50520;a9580e2a-c3df-418e-a572-29e17b88abf4;true;Brunei
4;synthesizing intuitive Valleys;Gorgeous;../fake-data/blob/hipster.txt;teal;teal;Synergistic violet;34726;a2665927-c3e7-4b4d-a5ab-65d241f20b16;false;toolset
5;Liaison Awesome IB;Practical;../fake-data/blob/hipster.txt;orange;Account;transition;87627;0afa8a41-af17-4a9b-8d9c-d6d829b1082a;false;Rwanda
6;Ameliorated Music;Buckinghamshire Accountability Integration;../fake-data/blob/hipster.txt;silver;Chief;Granite;84480;bd6d3995-15d6-45bf-9db3-e81bef664e76;false;Buckinghamshire
7;Gloves Bedfordshire copy;multi-byte Indian;../fake-data/blob/hipster.txt;turquoise;white plum synthesizing;Music;40891;dc5f1585-7768-451f-89fb-0c69fa9c3570;true;structure
8;panel Identity;Re-engineered Brunei alarm;../fake-data/blob/hipster.txt;grey;Customer Director Metal;Chief Account reboot;40434;6fc7c320-ae25-4c3b-8f9a-ad9fa5e590e0;false;open-source Garden
9;portals parsing;Practical User-friendly;../fake-data/blob/hipster.txt;magenta;Soft transparent Card;Cambridgeshire reboot Director;72364;f90cbe39-dc83-4edf-ba06-cb2fd3afea82;true;asynchronous programming
10;compressing Falkland;withdrawal Borders Handmade;../fake-data/blob/hipster.txt;yellow;SMTP Views;Movies deliverables;94263;662fbcfb-22b7-48d4-b87c-8066efaf8026;true;Plastic
